"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Belarus","Female","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Upper-middle-income","Belarus","Male","59","59.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Upper-middle-income","Belarus","Female","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Lower-middle-income","Bolivia (Plurinational State of)","Male","53","53.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Brazil","Both sexes","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Brazil","Male","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","High-income","Barbados","Female","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Brunei Darussalam","Female","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","South-East Asia","Lower-middle-income","Bhutan","Both sexes","52","52.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Upper-middle-income","Botswana","Female","41","41.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Upper-middle-income","Botswana","Both sexes","41","41.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Upper-middle-income","Botswana","Female","53","53.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Central African Republic","Male","43","43.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Central African Republic","Both sexes","43","43.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Switzerland","Male","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Switzerland","Female","72","72.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Switzerland","Male","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Chile","Both sexes","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Lower-middle-income","Côte d'Ivoire","Female","42","42.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Lower-middle-income","Cameroon","Female","44","44.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Democratic Republic of the Congo","Male","43","43.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Democratic Republic of the Congo","Female","45","45.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Democratic Republic of the Congo","Both sexes","44","44.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Lower-middle-income","Congo","Both sexes","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","High-income","Cook Islands","Male","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","High-income","Cook Islands","Both sexes","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Colombia","Male","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Colombia","Female","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Lower-middle-income","Cabo Verde","Male","57","57.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Costa Rica","Both sexes","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Czech Republic","Male","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Germany","Female","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Germany","Both sexes","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Dominica","Female","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Denmark","Male","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Egypt","Male","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Spain","Male","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Spain","Female","73","73.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Estonia","Male","58","58.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Estonia","Both sexes","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Ethiopia","Female","56","56.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Upper-middle-income","Fiji","Male","57","57.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Upper-middle-income","Fiji","Female","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","France","Both sexes","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","France","Female","74","74.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","Male","59","59.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","Female","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","Both sexes","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Upper-middle-income","Gabon","Female","51","51.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","Female","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","Both sexes","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Lower-middle-income","Georgia","Both sexes","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Georgia","Male","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Georgia","Both sexes","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Guinea","Female","43","43.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Greece","Female","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Greece","Male","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Lower-middle-income","Guatemala","Female","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Lower-middle-income","Guyana","Female","58","58.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Lower-middle-income","Honduras","Both sexes","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Lower-middle-income","Honduras","Male","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Lower-middle-income","Honduras","Female","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Low-income","Haiti","Both sexes","52","52.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Hungary","Female","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","South-East Asia","Lower-middle-income","India","Female","58","58.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","South-East Asia","Lower-middle-income","India","Both sexes","57","57.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Iraq","Both sexes","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Iceland","Male","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Israel","Male","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Israel","Female","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Italy","Both sexes","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Italy","Both sexes","73","73.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Jamaica","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Jordan","Female","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","High-income","Japan","Female","76","76.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Japan","Male","72","72.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Kazakhstan","Both sexes","56","56.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Upper-middle-income","Kazakhstan","Male","56","56.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Upper-middle-income","Kazakhstan","Female","64","64.00000","","",""
